,Release Date,Season,Episode,Episode Title,Name,Sentence,Emotion Label
10088,2013-06-02,Season 3,Episode 9,The Rains of Castamere,osha,Some climb straight up the ice.,fear
10089,2013-06-02,Season 3,Episode 9,The Rains of Castamere,bran stark,Even Hodor's not strong enough to climb the Wall with me on his back.,neutral
10090,2013-06-02,Season 3,Episode 9,The Rains of Castamere,hodor,Hodor!,disgust
10091,2013-06-02,Season 3,Episode 9,The Rains of Castamere,jojen,Nineteen castles guard the Wall. Only three are still manned.,neutral
10092,2013-06-02,Season 3,Episode 9,The Rains of Castamere,jojen,One of those abandoned fortresses will give us a way through.,neutral
10093,2013-06-02,Season 3,Episode 9,The Rains of Castamere,bran stark,My uncle said the gates were sealed with ice and stone when the castles were deserted.,disgust
10094,2013-06-02,Season 3,Episode 9,The Rains of Castamere,meera,"Well, we'll have to open them up again.",neutral
10095,2013-06-02,Season 3,Episode 9,The Rains of Castamere,old man,"Whoa, whoa, whoa!",surprise
10096,2013-06-02,Season 3,Episode 9,The Rains of Castamere,meera,There's a rider out there.,surprise
10097,2013-06-02,Season 3,Episode 9,The Rains of Castamere,jojen,Just one?,neutral
10098,2013-06-02,Season 3,Episode 9,The Rains of Castamere,meera,There's more.,neutral
10099,2013-06-02,Season 3,Episode 9,The Rains of Castamere,osha,"It's just thunder, sweet giant.",neutral
10100,2013-06-02,Season 3,Episode 9,The Rains of Castamere,hodor,Hodor.,disgust
10101,2013-06-02,Season 3,Episode 9,The Rains of Castamere,old man,I yield. I yield.,neutral
10102,2013-06-02,Season 3,Episode 9,The Rains of Castamere,jojen,Wildlings.,neutral
10103,2013-06-02,Season 3,Episode 9,The Rains of Castamere,osha,Where's Shaggydog and Summer?,neutral
10104,2013-06-02,Season 3,Episode 9,The Rains of Castamere,bran stark,Hunting.,neutral
10105,2013-06-02,Season 3,Episode 9,The Rains of Castamere,jojen,"Shhh, quiet, Hodor.",neutral
10106,2013-06-02,Season 3,Episode 9,The Rains of Castamere,jojen,Make him shut up. If they hear us…,anger
10107,2013-06-02,Season 3,Episode 9,The Rains of Castamere,bran stark,"To Hodor] Hush, Hodor. No, no more Hodoring.",disgust
10108,2013-06-02,Season 3,Episode 9,The Rains of Castamere,bran stark,"Hodor, calm down.",neutral
10109,2013-06-02,Season 3,Episode 9,The Rains of Castamere,osha,You need to keep quiet.,neutral
10110,2013-06-02,Season 3,Episode 9,The Rains of Castamere,jojen,They're gonna hear us.,neutral
10111,2013-06-02,Season 3,Episode 9,The Rains of Castamere,bran stark,"Hodor, be quiet.",neutral
10112,2013-06-02,Season 3,Episode 9,The Rains of Castamere,bran stark,"Hodor, calm down. Hodor, be quiet!",anger
10113,2013-06-02,Season 3,Episode 9,The Rains of Castamere,meera,What did you do?,surprise
10114,2013-06-02,Season 3,Episode 9,The Rains of Castamere,bran stark,Nothing. I don't know.,surprise
10115,2013-06-02,Season 3,Episode 9,The Rains of Castamere,rickon,What's That?,surprise
10116,2013-06-02,Season 3,Episode 9,The Rains of Castamere,osha,That's a horse dying.,disgust
10117,2013-06-02,Season 3,Episode 9,The Rains of Castamere,wildling,Bring them over here.,neutral
10118,2013-06-02,Season 3,Episode 9,The Rains of Castamere,wildling,That was the last of them. The rest are dead.,sadness
10119,2013-06-02,Season 3,Episode 9,The Rains of Castamere,orell,I heard shouting up there.,fear
10120,2013-06-02,Season 3,Episode 9,The Rains of Castamere,tormund,Thunder.,neutral
10121,2013-06-02,Season 3,Episode 9,The Rains of Castamere,orell,I know the difference between shouting and thunder.,neutral
10122,2013-06-02,Season 3,Episode 9,The Rains of Castamere,tormund,Maybe it's ghosts.,neutral
10123,2013-06-02,Season 3,Episode 9,The Rains of Castamere,tormund,"That won't help you, grandpa.",anger
10124,2013-06-02,Season 3,Episode 9,The Rains of Castamere,tormund,Where you riding?,neutral
10125,2013-06-02,Season 3,Episode 9,The Rains of Castamere,old man,"Doesn't matter now, does it?",anger
10126,2013-06-02,Season 3,Episode 9,The Rains of Castamere,tormund,"No, it doesn't matter now.",neutral
10127,2013-06-02,Season 3,Episode 9,The Rains of Castamere,orell,Cut his throat or he'll tell the crows we're here.,anger
10128,2013-06-02,Season 3,Episode 9,The Rains of Castamere,tormund,You understand.,neutral
10129,2013-06-02,Season 3,Episode 9,The Rains of Castamere,old man,Let me stand at least.,anger
10130,2013-06-02,Season 3,Episode 9,The Rains of Castamere,old man,Let me go with a bit of dignity.,neutral
10131,2013-06-02,Season 3,Episode 9,The Rains of Castamere,orell,Make the crow kill him. You're one of us now. Prove it.,anger
10132,2013-06-02,Season 3,Episode 9,The Rains of Castamere,jojen,The wolves are out there.,neutral
10133,2013-06-02,Season 3,Episode 9,The Rains of Castamere,bran stark,I can't do it by choice. I don't know how. It happens in my dreams.,neutral
10134,2013-06-02,Season 3,Episode 9,The Rains of Castamere,jojen,"You're a warg, Bran. It's in your blood.",disgust
10135,2013-06-02,Season 3,Episode 9,The Rains of Castamere,bran stark,I can't.,sadness
10136,2013-06-02,Season 3,Episode 9,The Rains of Castamere,jojen,"You just did, with him.",neutral
10137,2013-06-02,Season 3,Episode 9,The Rains of Castamere,jojen,A wolf is nothing compared to that.,neutral
10138,2013-06-02,Season 3,Episode 9,The Rains of Castamere,old man,She looks sharp.,neutral
10139,2013-06-02,Season 3,Episode 9,The Rains of Castamere,ygritte,Do it. Do it.,anger
10140,2013-06-02,Season 3,Episode 9,The Rains of Castamere,orell,Told ya. He's still one of them.,neutral
10141,2013-06-02,Season 3,Episode 9,The Rains of Castamere,tormund,"Go on, boy.",anger
10142,2013-06-02,Season 3,Episode 9,The Rains of Castamere,tormund,Go on!,anger
10143,2013-06-02,Season 3,Episode 9,The Rains of Castamere,orell,He's a crow. He'll always be a crow. And here's his crow wife guarding him. He'll stab us in the back first chance he gets.,anger
10144,2013-06-02,Season 3,Episode 9,The Rains of Castamere,tormund,Kill him!,anger
10145,2013-06-02,Season 3,Episode 9,The Rains of Castamere,tormund,He's one of them!,surprise
10146,2013-06-02,Season 3,Episode 9,The Rains of Castamere,ygritte,No!,anger
10147,2013-06-02,Season 3,Episode 9,The Rains of Castamere,tormund,Do you hear me?,surprise
10148,2013-06-02,Season 3,Episode 9,The Rains of Castamere,tormund,You're not gonna die for one of them.,neutral
10149,2013-06-02,Season 3,Episode 9,The Rains of Castamere,jojen,Do it. They'll find us if you don't.,neutral
10150,2013-06-02,Season 3,Episode 9,The Rains of Castamere,jon snow,You were right the whole time.,neutral
10151,2013-06-02,Season 3,Episode 9,The Rains of Castamere,daario,"When you hear a songbirdo s whistle, you come. I'm a great whistler, the greatest in the land.",neutral
10152,2013-06-02,Season 3,Episode 9,The Rains of Castamere,daario,Daario Naharis.,neutral
10153,2013-06-02,Season 3,Episode 9,The Rains of Castamere,daario,That one was quick.,surprise
10154,2013-06-02,Season 3,Episode 9,The Rains of Castamere,jorah mormont,There may be others.,neutral
10155,2013-06-02,Season 3,Episode 9,The Rains of Castamere,daario,I doubt it. The Yunkish prefer to let their slaves do their fighting for them.,neutral
10156,2013-06-02,Season 3,Episode 9,The Rains of Castamere,jorah mormont,That's what you call a few guards?,neutral
10157,2013-06-02,Season 3,Episode 9,The Rains of Castamere,roslin,"Lord Edmure, I hope I'm not a disappointment to you.",sadness
10158,2013-06-02,Season 3,Episode 9,The Rains of Castamere,edmure,"You're a delight to me, my lady.",joy
10159,2013-06-02,Season 3,Episode 9,The Rains of Castamere,septon,You may now cloak the bride and bring her under your protection.,neutral
10160,2013-06-02,Season 3,Episode 9,The Rains of Castamere,septon,"In the sight of the Seven, I hereby seal these two souls, binding them as one for eternity. Look upon each other and say the words.",neutral
10161,2013-06-02,Season 3,Episode 9,The Rains of Castamere,edmure roslin,"Father, Smith, Warrior, Mother, Maiden, Crone, Stranger. I am hers and she is mine from this day until the end of my days.",neutral
10162,2013-06-02,Season 3,Episode 9,The Rains of Castamere,meera,Is that safe?,neutral
10163,2013-06-02,Season 3,Episode 9,The Rains of Castamere,osha,They're long gone.,neutral
10164,2013-06-02,Season 3,Episode 9,The Rains of Castamere,bran stark,You were right. I can get inside Summer's mind whenever I want.,neutral
10165,2013-06-02,Season 3,Episode 9,The Rains of Castamere,jojen,Of course you can. North of the Wall there are wildlings who can control all sorts of animals. But you did a lot more than that. You got inside Hodor's mind.,neutral
10166,2013-06-02,Season 3,Episode 9,The Rains of Castamere,bran stark,They can't do that north of the Wall?,surprise
10167,2013-06-02,Season 3,Episode 9,The Rains of Castamere,jojen,No one can do that. Anywhere.,neutral
10168,2013-06-02,Season 3,Episode 9,The Rains of Castamere,bran stark,"When I was looking through Summer's eyes, I saw Jon.",disgust
10169,2013-06-02,Season 3,Episode 9,The Rains of Castamere,rickon,Where?,neutral
10170,2013-06-02,Season 3,Episode 9,The Rains of Castamere,bran stark,He was with the wildlings. They tried to kill him but he got away.,anger
10171,2013-06-02,Season 3,Episode 9,The Rains of Castamere,osha,He'll be heading back to Castle Black then. That's where we should go.,neutral
10172,2013-06-02,Season 3,Episode 9,The Rains of Castamere,bran stark,"For all we know, Castle Black's already under attack. If this many wildlings got through-",fear
10173,2013-06-02,Season 3,Episode 9,The Rains of Castamere,osha,I already told you. I'm not going north of the Wall.,neutral
10174,2013-06-02,Season 3,Episode 9,The Rains of Castamere,bran stark,Everything Jojen told me is true. You saw what I did to Hodor. I have to find the three-eyed raven.,neutral
10175,2013-06-02,Season 3,Episode 9,The Rains of Castamere,osha,"Listen to me, little lord.",neutral
10176,2013-06-02,Season 3,Episode 9,The Rains of Castamere,bran stark,"Don't worry, I'm not asking you to come with me. It won't be safe for Rickon.",fear
10177,2013-06-02,Season 3,Episode 9,The Rains of Castamere,rickon,Me? I'm coming with you.,neutral
10178,2013-06-02,Season 3,Episode 9,The Rains of Castamere,bran stark,No. You and Osha and Shaggydog head for the Last Hearth. The Umbers are our bannermen. They'll protect you.,neutral
10179,2013-06-02,Season 3,Episode 9,The Rains of Castamere,rickon,I'm coming with you. I'm your brother. I have to protect you.,fear
10180,2013-06-02,Season 3,Episode 9,The Rains of Castamere,bran stark,"Right now, I have to protect you.",neutral
10181,2013-06-02,Season 3,Episode 9,The Rains of Castamere,bran stark,"Robb's at war and I'm going beyond the Wall. If something happens to us, you're the heir to Winterfell.",neutral
10182,2013-06-02,Season 3,Episode 9,The Rains of Castamere,bran stark,Will you know how to find the last Hearth?,neutral
10183,2013-06-02,Season 3,Episode 9,The Rains of Castamere,osha,You Southerners build your big castles and you never move. You're easy to find.,neutral
10184,2013-06-02,Season 3,Episode 9,The Rains of Castamere,rickon,We're not Southerners.,neutral
10185,2013-06-02,Season 3,Episode 9,The Rains of Castamere,rickon,And I don't want to leave you.,sadness
10186,2013-06-02,Season 3,Episode 9,The Rains of Castamere,osha,"Shhh. Come here, little soldier. You and me, we're gonna have some adventures.",disgust
10187,2013-06-02,Season 3,Episode 9,The Rains of Castamere,bran stark,You don't have to do any of this.,neutral
10188,2013-06-02,Season 3,Episode 9,The Rains of Castamere,osha,"Your family took me in and was good to me when they had no cause to be. Shhh. We'll be fine, you and me. The Umbers are great warriors. Even I heard about them growing up. They'll teach you how to swing a sword.",neutral
10189,2013-06-02,Season 3,Episode 9,The Rains of Castamere,rickon,I know how to swing a sword.,neutral
10190,2013-06-02,Season 3,Episode 9,The Rains of Castamere,bran stark,You're leaving now? It's the middle of the night.,surprise
10191,2013-06-02,Season 3,Episode 9,The Rains of Castamere,osha,I learned to walk in darkness.,fear
10192,2013-06-02,Season 3,Episode 9,The Rains of Castamere,osha,"Say your good-byes, little man.",neutral
10193,2013-06-02,Season 3,Episode 9,The Rains of Castamere,osha,Keep this one safe. He means the world to me.,neutral
10194,2013-06-02,Season 3,Episode 9,The Rains of Castamere,daenerys targaryen,"We've been waiting a long time. Haven't we? Well I don't know, you tell me. How long does it take to sack a city?",neutral
10195,2013-06-02,Season 3,Episode 9,The Rains of Castamere,jorah mormont,It was just as you said. They did not believe until it was too late. Their slave soldiers threw down their spears and surrendered.,anger
10196,2013-06-02,Season 3,Episode 9,The Rains of Castamere,daenerys targaryen,And Daario Naharis?,surprise
10197,2013-06-02,Season 3,Episode 9,The Rains of Castamere,daario,"The city is yours, my queen.",neutral
10198,2013-06-02,Season 3,Episode 9,The Rains of Castamere,talisa,"They're good, aren't they?",anger
10199,2013-06-02,Season 3,Episode 9,The Rains of Castamere,lothar,They ought to be because they cost enough.,neutral
10200,2013-06-02,Season 3,Episode 9,The Rains of Castamere,blackfish,Look at the crowd there.,disgust
10201,2013-06-02,Season 3,Episode 9,The Rains of Castamere,catelyn stark,He complained about this marriage the entire ride from Riverrun and now look at him.,anger
10202,2013-06-02,Season 3,Episode 9,The Rains of Castamere,blackfish,The Godo s love to reward a fool.,anger
10203,2013-06-02,Season 3,Episode 9,The Rains of Castamere,catelyn stark,Uncle.,disgust
10204,2013-06-02,Season 3,Episode 9,The Rains of Castamere,blackfish,"What? He's my nephew, I love him. And he's a damned fool.",anger
10205,2013-06-02,Season 3,Episode 9,The Rains of Castamere,catelyn stark,"Don't you drink, Lord Bolton?",anger
10206,2013-06-02,Season 3,Episode 9,The Rains of Castamere,roose,"Never do, my lady. Dulls the senses.",neutral
10207,2013-06-02,Season 3,Episode 9,The Rains of Castamere,blackfish,That's the point. Didn't you marry one of these Frey girls?,anger
10208,2013-06-02,Season 3,Episode 9,The Rains of Castamere,roose,"Aye. Lord Walder let me choose any of his granddaughters and promised me the girl's weight in silver as a dowry. So I have a fat, young bride.",joy
10209,2013-06-02,Season 3,Episode 9,The Rains of Castamere,catelyn stark,I hope she makes you very happy.,joy
10210,2013-06-02,Season 3,Episode 9,The Rains of Castamere,roose,"Well, she's made me very rich.",neutral
10211,2013-06-02,Season 3,Episode 9,The Rains of Castamere,blackfish,"Pardon, my lord, my lady. I need to find a tree to piss on.",disgust
10212,2013-06-02,Season 3,Episode 9,The Rains of Castamere,robb stark,My mother's alone with Roose Bolton. I should rescue her.,sadness
10213,2013-06-02,Season 3,Episode 9,The Rains of Castamere,talisa,Your mother is less in need of rescue than any woman I've ever met.,sadness
10214,2013-06-02,Season 3,Episode 9,The Rains of Castamere,robb stark,Be kind. She's finally starting to like you.,neutral
10215,2013-06-02,Season 3,Episode 9,The Rains of Castamere,talisa,"And I like her. But if she had her way, I would be back in Volantis, playing my harp and you would be sitting over there , eating blackberries out of Roslin Frey's hand.",disgust
10216,2013-06-02,Season 3,Episode 9,The Rains of Castamere,robb stark,Perhaps I've made a terrible mistake.,fear
10217,2013-06-02,Season 3,Episode 9,The Rains of Castamere,robb stark,Striking your king is an act of treason.,disgust
10218,2013-06-02,Season 3,Episode 9,The Rains of Castamere,talisa,"No, don't. Don't insult them.",anger
10219,2013-06-02,Season 3,Episode 9,The Rains of Castamere,walder,Your Grace.,neutral
10220,2013-06-02,Season 3,Episode 9,The Rains of Castamere,walder,"The Septon has prayed his prayers, some words were said and Lord Edmure has wrapped my daughter in a cloak. But they are not yet man and wife. A sword needs a sheath . And a wedding needs a bedding . What does my sire say?",neutral
10221,2013-06-02,Season 3,Episode 9,The Rains of Castamere,everybody,To bed! To bed! To bed!,anger
10222,2013-06-02,Season 3,Episode 9,The Rains of Castamere,robb stark,"If you think the time is right, Lord Walder, by all means, let us bed them.",neutral
10223,2013-06-02,Season 3,Episode 9,The Rains of Castamere,edmure,"Ho-ho! Careful now, ladies. Once you set that monster free, there's no caging him again .",neutral
10224,2013-06-02,Season 3,Episode 9,The Rains of Castamere,catelyn stark,Poor girl.,sadness
10225,2013-06-02,Season 3,Episode 9,The Rains of Castamere,roose,Every bride suffers the same. I'm sure you endured yours with grace.,neutral
10226,2013-06-02,Season 3,Episode 9,The Rains of Castamere,catelyn stark,"Oh, Ned forbade it. He said it wouldn't be right if he broke a man's jaw on our wedding night.",disgust
10227,2013-06-02,Season 3,Episode 9,The Rains of Castamere,talisa,That is a very strange custom.,surprise
10228,2013-06-02,Season 3,Episode 9,The Rains of Castamere,robb stark,I suppose it does seem strange from a foreigner's perspective.,surprise
10229,2013-06-02,Season 3,Episode 9,The Rains of Castamere,talisa,It seems normal to you?,neutral
10230,2013-06-02,Season 3,Episode 9,The Rains of Castamere,robb stark,"It's tradition. Without the bedding ceremony, there's no real proof the lord and lady consummated their marriage.",neutral
10231,2013-06-02,Season 3,Episode 9,The Rains of Castamere,talisa,"No, but there are other ways of providing proof.",neutral
10232,2013-06-02,Season 3,Episode 9,The Rains of Castamere,robb stark,Boy or girl?,neutral
10233,2013-06-02,Season 3,Episode 9,The Rains of Castamere,talisa,"I don't know. But if it's a boy, I know what we should name him.",neutral
10234,2013-06-02,Season 3,Episode 9,The Rains of Castamere,robb stark,"Oh, do you? It seems to me the father should have some say in his son's naming.",neutral
10235,2013-06-02,Season 3,Episode 9,The Rains of Castamere,talisa,Eddard. Don't you want to teach little Ned Stark how to ride horses?,anger
10236,2013-06-02,Season 3,Episode 9,The Rains of Castamere,robb stark,I do.,neutral
10237,2013-06-02,Season 3,Episode 9,The Rains of Castamere,sandor clegane,"Whoa, whoa, whoa, whoa.",surprise
10238,2013-06-02,Season 3,Episode 9,The Rains of Castamere,frey guard,Where are you going?,neutral
10239,2013-06-02,Season 3,Episode 9,The Rains of Castamere,sandor clegane,Got salt pork for the feast.,neutral
10240,2013-06-02,Season 3,Episode 9,The Rains of Castamere,frey guard,The feast is over.,joy
10241,2013-06-02,Season 3,Episode 9,The Rains of Castamere,sandor clegane,It doesn't sound like it's over.,neutral
10242,2013-06-02,Season 3,Episode 9,The Rains of Castamere,frey guard,"If I tell you it's over, it's over. Turn this cart around and get the hell out of here.",anger
10243,2013-06-02,Season 3,Episode 9,The Rains of Castamere,sandor clegane,"Got pig's feet, too .",disgust
10244,2013-06-02,Season 3,Episode 9,The Rains of Castamere,frey guard,Are you soft in the head? Turn this cart around!,anger
10245,2013-06-02,Season 3,Episode 9,The Rains of Castamere,walder,I feel I've been remiss in my duties.,sadness
10246,2013-06-02,Season 3,Episode 9,The Rains of Castamere,walder,I've given you meat and wine and music but I haven't shown you the hospitality you deserve. My king has married and I owe my new queen a wedding gift.,neutral
10247,2013-06-02,Season 3,Episode 9,The Rains of Castamere,catelyn stark,Robb!,surprise
10248,2013-06-02,Season 3,Episode 9,The Rains of Castamere,man,"You ready to head home to Winterfell, eh?",neutral
10249,2013-06-02,Season 3,Episode 9,The Rains of Castamere,man,"Feast over yet, is it?",neutral
10250,2013-06-02,Season 3,Episode 9,The Rains of Castamere,frey man,"Aye, it's over!",anger
10251,2013-06-02,Season 3,Episode 9,The Rains of Castamere,sandor clegane,It's too late.,sadness
10252,2013-06-02,Season 3,Episode 9,The Rains of Castamere,walder,"The King in the North arises, heh heh.",neutral
10253,2013-06-02,Season 3,Episode 9,The Rains of Castamere,catelyn stark,"Lord Walder! Lord Walder, enough! Let it end! Please! He is my son! My first son! Let him go and I swear that we will forget this! I swear it by the Old Gods and New! We will take no vengeance.",anger
10254,2013-06-02,Season 3,Episode 9,The Rains of Castamere,walder,"You already swore me one oath right here in my castle. You swore by all the Gods, your son would marry my daughter!",anger
10255,2013-06-02,Season 3,Episode 9,The Rains of Castamere,catelyn stark,"Take me for a hostage but let Robb go! Robb, get up! Get up and walk out! Please! Please!",anger
10256,2013-06-02,Season 3,Episode 9,The Rains of Castamere,walder,And why I would let him do that?,surprise
10257,2013-06-02,Season 3,Episode 9,The Rains of Castamere,catelyn stark,"On my honor as a Tully, on my honor as a Stark, let him go or I will cut your wife's throat!",anger
10258,2013-06-02,Season 3,Episode 9,The Rains of Castamere,walder,I'll find another.,neutral
10259,2013-06-02,Season 3,Episode 9,The Rains of Castamere,robb stark,Mother.,sadness
10260,2013-06-02,Season 3,Episode 9,The Rains of Castamere,roose,The Lannisters send their regards.,neutral
10261,2013-06-09,Season 3,Episode 10,Mhysa,man,It's too late.,sadness
10262,2013-06-09,Season 3,Episode 10,Mhysa,man,Yah! Yah!,surprise
10263,2013-06-09,Season 3,Episode 10,Mhysa,man,"Go, move out!",anger
10264,2013-06-09,Season 3,Episode 10,Mhysa,frey men,The King in the North! The King in the North! The King in the North! The King in the North!,anger
10265,2013-06-09,Season 3,Episode 10,Mhysa,frey men,The King in the North! The King in the North!,surprise
10266,2013-06-09,Season 3,Episode 10,Mhysa,frey man,Here comes the King in the North! Here comes the King in the North!,joy
10267,2013-06-09,Season 3,Episode 10,Mhysa,frey man,Here comes,neutral
10268,2013-06-09,Season 3,Episode 10,Mhysa,tyrion lannister,Hmm. Ser Eldrick Sarsfield and Lord Desmond Crakehall. Ser Eldrick Sarsfield and Lord Desmond Crakehall.,neutral
10269,2013-06-09,Season 3,Episode 10,Mhysa,sansa stark,What are you doing?,surprise
10270,2013-06-09,Season 3,Episode 10,Mhysa,tyrion lannister,I have a list.,neutral
10271,2013-06-09,Season 3,Episode 10,Mhysa,sansa stark,A list of people you mean to kill?,disgust
10272,2013-06-09,Season 3,Episode 10,Mhysa,tyrion lannister,"For laughing at me? Do I look like Joffrey to you? No, death seems a bit extreme. Fear of death, on the other hand-",fear
10273,2013-06-09,Season 3,Episode 10,Mhysa,sansa stark,You should learn to ignore them.,neutral
10274,2013-06-09,Season 3,Episode 10,Mhysa,tyrion lannister,"My lady, people have been laughing at me far longer than they've been laughing at you. I'm the Halfman, the Demon Monkey, the Imp.",surprise
10275,2013-06-09,Season 3,Episode 10,Mhysa,sansa stark,You're a Lannister. I am the disgraced daughter of the traitor Ned Stark.,disgust
10276,2013-06-09,Season 3,Episode 10,Mhysa,tyrion lannister,The disgraced daughter and the Demon Monkey. We're perfect for each other.,neutral
10277,2013-06-09,Season 3,Episode 10,Mhysa,sansa stark,So how should we punish them?,anger
10278,2013-06-09,Season 3,Episode 10,Mhysa,tyrion lannister,Who? Whom?,surprise
10279,2013-06-09,Season 3,Episode 10,Mhysa,sansa stark,Ser Eldrick Sarsfield and Lord Desmond Crakehall.,joy
10280,2013-06-09,Season 3,Episode 10,Mhysa,tyrion lannister,Ah. I could speak to Lord Varys and learn their perversions. Anyone named Desmond Crakehall must be a pervert.,disgust
10281,2013-06-09,Season 3,Episode 10,Mhysa,sansa stark,I hear that you're a pervert.,disgust
10282,2013-06-09,Season 3,Episode 10,Mhysa,tyrion lannister,I am the Imp. I have certain standards to maintain.,neutral
10283,2013-06-09,Season 3,Episode 10,Mhysa,sansa stark,"We could sheep shift Lord Desmondo s bed. You cut a little hole in his mattress and you stuff sheep dung inside. Then you sew up the hole and make his bed again. His room will stink, but he won't know where it's coming from.",disgust
10284,2013-06-09,Season 3,Episode 10,Mhysa,tyrion lannister,Lady Sansa!,surprise
10285,2013-06-09,Season 3,Episode 10,Mhysa,sansa stark,My sister used to do that when she was angry with me. And she was always angry with me.,anger
10286,2013-06-09,Season 3,Episode 10,Mhysa,tyrion lannister,Why sheep shift?,neutral
10287,2013-06-09,Season 3,Episode 10,Mhysa,sansa stark,That's the vulgar word for dung.,disgust
10288,2013-06-09,Season 3,Episode 10,Mhysa,tyrion lannister,My lady-,surprise
10289,2013-06-09,Season 3,Episode 10,Mhysa,sansa stark,"Well, you asked me.",neutral
10290,2013-06-09,Season 3,Episode 10,Mhysa,girl,Oh! That's him!,surprise
10291,2013-06-09,Season 3,Episode 10,Mhysa,podrick,"My lord, my lady. Your father has called a meeting of the small council.",surprise
10292,2013-06-09,Season 3,Episode 10,Mhysa,tyrion lannister,Killed a few puppies today?,neutral
10293,2013-06-09,Season 3,Episode 10,Mhysa,joffrey lannister,"Show him. Come on, show him.",anger
10294,2013-06-09,Season 3,Episode 10,Mhysa,pycelle,"Oh, apologies, my lord. Old fingers.",sadness
10295,2013-06-09,Season 3,Episode 10,Mhysa,tyrion lannister,Roslin caught a fine fat trout. Her brothers gave her a pair of wolf pelts for her wedding. Signed Walder Frey.' Is that bad poetry or is it supposed to mean something?,disgust
10296,2013-06-09,Season 3,Episode 10,Mhysa,joffrey lannister,Robb Stark is dead. And his bitch mother. Write back to Lord Frey. Thank him for his service and command him to send Robb Stark's head. I'm going to serve it to Sansa at my wedding feast.,anger
10297,2013-06-09,Season 3,Episode 10,Mhysa,varys,"Your Grace, Lady Sansa is your aunt by marriage.",neutral
10298,2013-06-09,Season 3,Episode 10,Mhysa,cersei lannister,A joke. Joffrey did not mean it.,disgust
10299,2013-06-09,Season 3,Episode 10,Mhysa,joffrey lannister,"Yes, I did. I'm going to have it served to Sansa at my wedding feast.",neutral
10300,2013-06-09,Season 3,Episode 10,Mhysa,tyrion lannister,No. She is no longer yours to torment.,neutral
10301,2013-06-09,Season 3,Episode 10,Mhysa,joffrey lannister,"Everyone is mine to torment. You'd do well to remember that, you little monster.",disgust
10302,2013-06-09,Season 3,Episode 10,Mhysa,tyrion lannister,"Oh, I'm a monster. Perhaps you should speak to me more softly, then. Monsters are dangerous and just now kings are dying like flies.",fear
10303,2013-06-09,Season 3,Episode 10,Mhysa,joffrey lannister,I could have your tongue out for saying that.,disgust
10304,2013-06-09,Season 3,Episode 10,Mhysa,cersei lannister,Let him make his threats. Hmm? He's a bitter little man.,disgust
10305,2013-06-09,Season 3,Episode 10,Mhysa,pycelle,"Lord Tyrion should apologize immediately. Unacceptable, disrespectful, and in very bad taste.",disgust
10306,2013-06-09,Season 3,Episode 10,Mhysa,joffrey lannister,I am the king! I will punish you.,anger
10307,2013-06-09,Season 3,Episode 10,Mhysa,tywin lannister,"Any man who must say, 'I am the king' is no true king. I'll make sure you understand that when I've won your war for you.",neutral
10308,2013-06-09,Season 3,Episode 10,Mhysa,joffrey lannister,My father won the real war. He killed Prince Rhaegar. He took the crown while you hid under Casterly Rock!,anger
10309,2013-06-09,Season 3,Episode 10,Mhysa,tywin lannister,The king is tired. See him to his chambers.,neutral
10310,2013-06-09,Season 3,Episode 10,Mhysa,cersei lannister,Come along.,neutral
10311,2013-06-09,Season 3,Episode 10,Mhysa,joffrey lannister,I'm not tired.,sadness
10312,2013-06-09,Season 3,Episode 10,Mhysa,cersei lannister,We have so much to celebrate. A wedding to plan. You must rest.,joy
10313,2013-06-09,Season 3,Episode 10,Mhysa,tywin lannister,"Grand Maester, perhaps some essence of nightshade to help him sleep.",neutral
10314,2013-06-09,Season 3,Episode 10,Mhysa,joffrey lannister,I'm not tired!,surprise
10315,2013-06-09,Season 3,Episode 10,Mhysa,cersei lannister,Come.,neutral
10316,2013-06-09,Season 3,Episode 10,Mhysa,tywin lannister,Not you.,neutral
10317,2013-06-09,Season 3,Episode 10,Mhysa,tyrion lannister,You just sent the most powerful man in Westeros to bed without his supper.,disgust
10318,2013-06-09,Season 3,Episode 10,Mhysa,tywin lannister,You're a fool if you believe he's the most powerful man in Westeros.,anger
10319,2013-06-09,Season 3,Episode 10,Mhysa,tyrion lannister,A treasonous statement. Joffrey is king.,disgust
10320,2013-06-09,Season 3,Episode 10,Mhysa,tywin lannister,You really think a crown gives you power?,surprise
10321,2013-06-09,Season 3,Episode 10,Mhysa,tyrion lannister,No. I think armies give you power.,neutral
10322,2013-06-09,Season 3,Episode 10,Mhysa,tywin lannister,Mm-hmm.,neutral
10323,2013-06-09,Season 3,Episode 10,Mhysa,tyrion lannister,"Robb Stark had one, never lost a battle, and you defeated him all the same.",neutral
10324,2013-06-09,Season 3,Episode 10,Mhysa,tyrion lannister,"Oh, I know. Walder Frey gets all the credit. Or the blame, I suppose, depending on your allegiance. Walder Frey is many things, but a brave man? No. He never would have risked such an action if he didn't have certain assurances.",neutral
10325,2013-06-09,Season 3,Episode 10,Mhysa,tywin lannister,Which he got from me. Do you disapprove?,disgust
10326,2013-06-09,Season 3,Episode 10,Mhysa,tyrion lannister,I'm all for cheating. This is war.,anger
10327,2013-06-09,Season 3,Episode 10,Mhysa,tywin lannister,But to slaughter them at a wedding. Explain to me why it is more noble to kill ten thousand men in battle than a dozen at dinner.,disgust
